0.0025 0.00422209 199729 -297418 5
0.0075 0.00818151 113262 48482.6 28
0.0125 0.0129517 88028.1 20226.8 80
0.0175 0.0177779 66691.3 46452.9 150
0.0225 0.0225652 58931.7 -10807 239
0.0275 0.0275623 61968.8 18218.4 387
0.0325 0.0326996 52837.8 6784.69 538
0.0375 0.0376818 38260 10771.4 680
0.0425 0.0425899 37542.5 11769.6 892
0.0475 0.0475649 32537.5 10359.3 1109
0.0525 0.0525759 31536.7 11872.2 1381
0.0575 0.0576375 30272.7 11748.2 1648
0.0625 0.0625903 28780.9 11136.7 1900
0.0675 0.0675433 27102.1 10251.3 2240
0.0725 0.0724882 24301 7865.63 2572
0.0775 0.0774957 22357.2 10232.9 2983
0.0825 0.082573 20075.7 7848.96 3446
0.0875 0.0876053 17603.1 7352.04 3756
0.0925 0.0925624 16782.4 4793.99 4192
0.0975 0.0975277 16280 3735.94 4695
0.1025 0.102549 15044.9 6605.25 5221
0.1075 0.107587 13968.4 4757.43 5772
0.1125 0.112569 13312.7 5700.84 6154
0.1175 0.117537 12299.9 3532.75 6848
0.1225 0.122523 12165.3 2773.99 7377
0.1275 0.12754 11380.2 3411.18 8091
0.1325 0.132552 10585.8 3836.55 8660
0.1375 0.137557 10673.4 3003.72 9372
0.1425 0.142528 10031.9 2620 9919
0.1475 0.14751 9523.87 3372.54 10793
0.1525 0.152515 9056.69 3922.42 11451
0.1575 0.157523 8470.24 2806.7 12314
0.1625 0.162537 7747.28 2660.24 13052
0.1675 0.16753 7403.56 1960.27 13868
0.1725 0.172526 7219.15 1921.4 14655
0.1775 0.177525 7014.02 1854.94 15606
0.1825 0.18253 6585.54 1827.73 16411
0.1875 0.187526 6253.34 1571.92 17408
0.1925 0.192508 6316.49 1355.99 18160
0.1975 0.197506 6035.75 1142.82 19407
0.2025 0.202528 5760.78 1355.78 20262
0.2075 0.207535 5698.26 793.645 21305
0.2125 0.21254 5475.31 990.226 22336
0.2175 0.217522 5322.45 393.806 23215
0.2225 0.222511 5095.4 734.591 24509
0.2275 0.227516 4903.08 1053.44 25532
0.2325 0.232528 4714.27 883.383 26837
0.2375 0.237528 4608.93 874.825 27770
0.2425 0.242513 4455.44 601.809 28987
0.2475 0.247505 4241.68 903.474 30260
0.2525 0.252515 4189.37 932.196 31524
0.2575 0.257525 4201.18 509.356 32887
0.2625 0.262524 3994.43 566.195 33890
0.2675 0.267506 3910.04 497.435 35313
0.2725 0.272518 3914.99 377.759 36872
0.2775 0.277529 3659.09 415.245 37952
0.2825 0.282526 3453.49 326.439 39483
0.2875 0.287521 3404.92 540.016 40693
0.2925 0.292512 3265.2 413.143 42327
0.2975 0.297519 3208.61 518.936 43730
